Product ID,Product Name,Product Category,Disc Price,Price
B0P0F001,5 step facial - Micro Detox,Facial Kit,211.86,250
B0P0F002,5 step facial - Aurum Glow,Facial Kit,211.86,250
B0P0F003,5 step facial - Radiance Revival,Facial Kit,233.05,275
B0P0F004,5 step facial - Derma Lumin,Facial Kit,233.05,275
B0P0F005,5 step facial - Cobalin B12,Facial Kit,211.86,250
B0P0F006,5 step facial - Mucin Glow,Facial Kit,233.05,275
B0P0F007,7 Step Facial - Acne Blast,Facial Kit,538.14,635
B0P0F008,7 Step Facial - Hydra Rich,Facial Kit,538.14,635
B0P0F009,7 Step Facial - Korean Glow,Facial Kit,538.14,635
B0P0F010,7 Step Facial - Marine Mud,Facial Kit,538.14,635
B0P0F011,7 Step Facial - Revital,Facial Kit,538.14,635
B0P0F012,7 Step Facial - Sea Boost,Facial Kit,538.14,635
B0P0F013,8 step Premium Facial - Bija Green Tea,Facial Kit,771.19,910
B0P0F014,8 step Premium Facial - Jeju Cherry,Facial Kit,771.19,910
B0P0F015,8 step Premium Facial - Jelly Wine,Facial Kit,889.83,1050
B0P0F016,8 step Premium Facial - Kaolin Aloe,Facial Kit,771.19,910
B0P0F017,8 step Premium Facial - Purple Ginseng,Facial Kit,889.83,1050
B0P0F018,8 step Premium Facial - Snail Mucin,Facial Kit,889.83,1050
B0P0F019,9 step Premium Facial - Bija Green Tea,Facial Kit,974.58,1150
B0P0F020,9 step Premium Facial - Jeju Cherry,Facial Kit,974.58,1150
B0P0F021,9 step Premium Facial - Jelly Wine,Facial Kit,1016.95,1200
B0P0F022,9 step Premium Facial - Kaolin Aloe,Facial Kit,974.58,1150
B0P0F023,9 step Premium Facial - Purple Ginseng,Facial Kit,1016.95,1200
B0P0F024,9 step Premium Facial - Snail Mucin,Facial Kit,1016.95,1200
B0P0F025,4 Step Cleanup - Gold Sheen,Facial Kit,168.64,199
B0P0F026,4 Step Cleanup - Aqua Splash,Facial Kit,168.64,199
B0P0F027,4 Step Cleanup - Pearl Wonder,Facial Kit,168.64,199
B0P0F028,4 Step Cleanup - Acne Heel,Facial Kit,168.64,199
B0P0F029,4 Step Cleanup - Professional Depigmentation,Facial Kit,168.64,199
B0P0F030,4 Step Cleanup - Radiat Youth,Facial Kit,168.64,199
B0P0M001,4 Step Pedicure - Lemon Tango,Mani-Pedi Kit,109.32,129
B0P0M002,4 Step Pedicure - Zero Tan,Mani-Pedi Kit,109.32,129
B0P0M003,4 Step Pedicure - Hydra Splash,Mani-Pedi Kit,109.32,129
B0P0M004,4 Step Pedicure - Rosemary mint,Mani-Pedi Kit,109.32,129
B0P0M005,4 Step Pedicure - Purple Passion,Mani-Pedi Kit,109.32,129
